scenario,order_n,cell_index,cell_type,execution_count,section,included,output_count,source_first_line
order_5x5,5,16,markdown,,6.0,True,0,"## 6. Scene builder — 5 TX (same pattern, simultaneous radiation) + 1 RX (lens differs per simulation)"
order_5x5,5,17,code,9.0,6.0,True,0,"def build_scene(tx_positions, tx_orientation_deg, tx_pattern_name,"
order_5x5,5,18,markdown,,7.0,True,0,"## 7. Beamform validation utilities (position, orientation, peak beam direction in world frame)"
order_5x5,5,19,code,10.0,7.0,True,0,def _p3(v):
order_5x5,5,20,markdown,,7.0,True,0,"### 7b. Antenna pattern profile (radiation pattern, `compute_gain`/`show`)"
order_5x5,5,21,code,11.0,7.0,True,0,"def get_builtin_pattern(name, polarization=""V"", polarization_model=""tr38901_2""):"
order_5x5,5,22,markdown,,7.0,True,0,### 7c. TX Antenna Profile — review before the main loop
order_5x5,5,23,code,12.0,7.0,True,4,"print(""="" * 60)"
order_5x5,5,24,markdown,,7.0,True,0,### 7d. RX Antenna Profile — review all scenarios before the main loop
order_5x5,5,25,code,13.0,7.0,True,10,"print(""="" * 60)"
order_5x5,5,26,markdown,,8.0,True,0,"## 8. Main loop — 5 simulations (5 RX scenarios, each with 5 simultaneous TX)"
order_5x5,5,27,code,14.0,8.0,True,0,"def plot_received_power(cfg, Hf, freqs):"
order_5x5,5,28,code,15.0,8.0,True,41,"generate_room_xml(ROOM_X, ROOM_Y, ROOM_Z, ROOM_XML)"
order_5x5,5,29,markdown,,9.0,True,0,## 9. Per-RX-scenario evaluation
order_5x5,5,30,code,16.0,9.0,True,1,def tx_branch_correlation(Hf_i):
order_5x5,5,31,code,17.0,9.0,True,1,"fig, ax = plt.subplots(1, 2, figsize=(12, 4.5))"
order_5x5,5,32,code,18.0,9.0,True,1,"fig, axes = plt.subplots(1, n_rx_cfg, figsize=(4 * n_rx_cfg, 4))"
order_5x5,5,33,code,19.0,9.0,True,1,"print(""="" * 60)"
order_5x5,5,34,markdown,,10.0,True,0,## 10. Combine the channels into a 5x5 MIMO matrix (from 5 simulations of 5x1)
order_5x5,5,35,code,20.0,10.0,True,0,def mimo_metrics_5x5(H9):
order_5x5,5,36,code,21.0,10.0,True,1,"H_5x5 = H_all  # (rx_config, tx_element, freq) -- direct combination, already in 5x5 MIMO form"
order_5x5,5,37,code,22.0,10.0,True,2,if SHOW_MIMO_PLOTS:
order_5x5,5,38,markdown,,10.0,True,0,### 10b. Spatial correlation (decorrelation) evaluation — combined 5x5 MIMO
order_5x5,5,39,code,23.0,10.0,True,1,def rx_correlation_5x5(H9):
order_5x5,5,40,code,24.0,10.0,True,1,if SHOW_MIMO_PLOTS:
order_5x5,5,41,markdown,,10.0,True,0,## Notes & further TODOs
order_5x5,5,42,markdown,,11.0,True,0,## 11. TX user bergerak linear di dalam ruangan
order_5x5,5,43,code,25.0,11.0,True,1,# --- Parameter lintasan linear TX user (edit di sini) ---
order_5x5,5,44,code,26.0,11.0,True,0,"def linear_tx_trajectory(start, end, n_points, element_positions=TX_POSITIONS,"
order_5x5,5,45,code,27.0,11.0,True,2,trajectory_results = pd.DataFrame()
order_5x5,5,46,markdown,,11.0,True,0,### 11b. Visualisasi lintasan dan data channel TX user
order_5x5,5,47,code,28.0,11.0,True,2,"def plot_linear_tx_trajectory(centers, tx_positions, rx_position,"
order_5x5,5,48,code,29.0,11.0,True,2,if RUN_LINEAR_TX_TRAJECTORY and not trajectory_results.empty:
order_5x5,5,49,markdown,,11.0,True,0,### 11c. Conditioning 5×5 MIMO sepanjang trajectory
order_5x5,5,50,code,30.0,11.0,True,3,trajectory_mimo_results = pd.DataFrame()
order_5x5,5,51,markdown,,11.0,True,0,### Interpretasi hasil trajectory
order_5x5,5,52,markdown,,12.0,True,0,## 12. Evaluasi spatial decorrelation — 1 TX × 5 RX
order_5x5,5,53,code,31.0,12.0,True,2,# --- Spatial-decorrelation configuration ---
order_5x5,5,54,code,32.0,12.0,True,2,"def plot_matrix_with_values(ax, matrix, labels, title, cmap, vmin=0.0, vmax=1.0):"
order_5x5,5,55,markdown,,12.0,True,0,### Interpretasi spatial decorrelation
order_5x5,5,56,markdown,,13.0,True,0,## 13. Spatial decorrelation tanpa normalisasi energi channel
order_5x5,5,57,code,33.0,13.0,True,2,def raw_spatial_matrices(H_rx_samples):
order_5x5,5,58,code,34.0,13.0,True,2,if raw_spatial_cross_correlation_overall.size:
order_5x5,5,59,markdown,,13.0,True,0,### Interpretasi hasil tanpa normalisasi
order_5x5,5,60,markdown,,14.0,True,0,## 14. Median-based spatial correlation — robust terhadap outlier
order_5x5,5,61,code,35.0,14.0,True,2,def correlation_blocks_frequency(H_rx_time_frequency):
order_5x5,5,62,code,36.0,14.0,True,2,if median_spatial_correlation_overall.size:
order_5x5,5,63,markdown,,14.0,True,0,### Interpretasi metode median
order_9x9,9,0,markdown,,,True,0,# Setup 20m x 20m — Lens Antenna 9-TX x 1-RX + Linear TX-User Trajectory
order_9x9,9,1,code,1.0,,True,1,import os
order_9x9,9,2,markdown,,1.0,True,0,"## 1. Antenna pattern loader (farfield HFSS, rotation baked-in)"
order_9x9,9,3,code,2.0,1.0,True,0,class HFSSPattern(AntennaPattern):
order_9x9,9,4,markdown,,2.0,True,0,"## 2. Orientation utilities (world-frame Euler angle, Sionna convention)"
order_9x9,9,5,code,3.0,2.0,True,0,def R_of(o):
order_9x9,9,6,markdown,,3.0,True,0,"## 3. Room scene (20m x 20m x 3m), reused from `Setup_20mx20m_9x9.ipynb`"
order_9x9,9,7,code,4.0,3.0,True,0,"def generate_room_xml(room_x=20, room_y=20, room_z=3, xml_path=""room_20x20.xml""):"
order_9x9,9,8,markdown,,4.0,True,0,## 4. RX lens farfield — angle mapping & mirroring the positive side
order_9x9,9,9,code,5.0,4.0,True,0,"LENS_DIR = Path(""farfieldAntennaData"")"
order_9x9,9,10,markdown,,5.0,True,0,## 5. ⚠️ CONFIGURATION — EDIT HERE
order_9x9,9,11,code,6.0,5.0,True,1,FREQ_GHZ = 38
order_9x9,9,12,markdown,,5.0,True,0,### 5b. Full layout preview (9 TX x 9 RX) — top view & 3D perspective
order_9x9,9,13,code,7.0,5.0,True,2,"def plot_full_layout(tx_positions, sim_configs, room_x, room_y, room_z, figsize=(14, 6)):"
order_9x9,9,14,markdown,,5.0,True,0,### 5c. RX cluster — zoomed view
order_9x9,9,15,code,8.0,5.0,True,2,"def plot_rx_zoom(sim_configs, pad_ratio=0.3, figsize=(14, 6)):"
order_9x9,9,16,markdown,,6.0,True,0,"## 6. Scene builder — 9 TX (same pattern, simultaneous radiation) + 1 RX (lens differs per simulation)"
order_9x9,9,17,code,9.0,6.0,True,0,"def build_scene(tx_positions, tx_orientation_deg, tx_pattern_name,"
order_9x9,9,18,markdown,,7.0,True,0,"## 7. Beamform validation utilities (position, orientation, peak beam direction in world frame)"
order_9x9,9,19,code,10.0,7.0,True,0,def _p3(v):
order_9x9,9,20,markdown,,7.0,True,0,"### 7b. Antenna pattern profile (radiation pattern, `compute_gain`/`show`)"
order_9x9,9,21,code,11.0,7.0,True,0,"def get_builtin_pattern(name, polarization=""V"", polarization_model=""tr38901_2""):"
order_9x9,9,22,markdown,,7.0,True,0,### 7c. TX Antenna Profile — review before the main loop
order_9x9,9,23,code,12.0,7.0,True,4,"print(""="" * 60)"
order_9x9,9,24,markdown,,7.0,True,0,### 7d. RX Antenna Profile — review all scenarios before the main loop
order_9x9,9,25,code,13.0,7.0,True,16,"print(""="" * 60)"
order_9x9,9,26,markdown,,8.0,True,0,"## 8. Main loop — 9 simulations (9 RX scenarios, each with 9 simultaneous TX)"
order_9x9,9,27,code,14.0,8.0,True,0,"def plot_received_power(cfg, Hf, freqs):"
order_9x9,9,28,code,15.0,8.0,True,73,"generate_room_xml(ROOM_X, ROOM_Y, ROOM_Z, ROOM_XML)"
order_9x9,9,29,markdown,,9.0,True,0,## 9. Per-RX-scenario evaluation
order_9x9,9,30,code,16.0,9.0,True,1,def tx_branch_correlation(Hf_i):
order_9x9,9,31,code,17.0,9.0,True,1,"fig, ax = plt.subplots(1, 2, figsize=(12, 4.5))"
order_9x9,9,32,code,18.0,9.0,True,1,"fig, axes = plt.subplots(3, 3, figsize=(13, 12))"
order_9x9,9,33,code,19.0,9.0,True,1,"print(""="" * 60)"
order_9x9,9,34,markdown,,10.0,True,0,## 10. Combine the channels into a 9x9 MIMO matrix (from 9 simulations of 9x1)
order_9x9,9,35,code,20.0,10.0,True,0,def mimo_metrics_9x9(H9):
order_9x9,9,36,code,21.0,10.0,True,1,"H_9x9 = H_all  # (rx_config, tx_element, freq) -- direct combination, already in 9x9 MIMO form"
order_9x9,9,37,code,22.0,10.0,True,2,if SHOW_MIMO_PLOTS:
order_9x9,9,38,markdown,,10.0,True,0,### 10b. Spatial correlation (decorrelation) evaluation — combined 9x9 MIMO
order_9x9,9,39,code,23.0,10.0,True,1,def rx_correlation_9x9(H9):
order_9x9,9,40,code,24.0,10.0,True,1,if SHOW_MIMO_PLOTS:
order_9x9,9,41,markdown,,10.0,True,0,## Notes & further TODOs
order_9x9,9,42,markdown,,11.0,True,0,## 11. TX user bergerak linear di dalam ruangan
order_9x9,9,43,code,25.0,11.0,True,1,# --- Parameter lintasan linear TX user (edit di sini) ---
order_9x9,9,44,code,26.0,11.0,True,0,"def linear_tx_trajectory(start, end, n_points, element_positions=TX_POSITIONS,"
order_9x9,9,45,code,27.0,11.0,True,2,trajectory_results = pd.DataFrame()
order_9x9,9,46,markdown,,11.0,True,0,### 11b. Visualisasi lintasan dan data channel TX user
order_9x9,9,47,code,28.0,11.0,True,2,"def plot_linear_tx_trajectory(centers, tx_positions, rx_position,"
order_9x9,9,48,code,29.0,11.0,True,2,if RUN_LINEAR_TX_TRAJECTORY and not trajectory_results.empty:
order_9x9,9,49,markdown,,11.0,True,0,### 11c. Conditioning 9×9 MIMO sepanjang trajectory
order_9x9,9,50,code,30.0,11.0,True,3,trajectory_mimo_results = pd.DataFrame()
order_9x9,9,51,markdown,,11.0,True,0,### Interpretasi hasil trajectory
order_9x9,9,52,markdown,,12.0,True,0,## 12. Evaluasi spatial decorrelation — 1 TX × 9 RX
order_9x9,9,53,code,31.0,12.0,True,2,# --- Spatial-decorrelation configuration ---
order_9x9,9,54,code,32.0,12.0,True,2,"def plot_matrix_with_values(ax, matrix, labels, title, cmap, vmin=0.0, vmax=1.0):"
order_9x9,9,55,markdown,,12.0,True,0,### Interpretasi spatial decorrelation
order_9x9,9,56,markdown,,13.0,True,0,## 13. Spatial decorrelation tanpa normalisasi energi channel
order_9x9,9,57,code,33.0,13.0,True,2,def raw_spatial_matrices(H_rx_samples):
order_9x9,9,58,code,34.0,13.0,True,2,if raw_spatial_cross_correlation_overall.size:
order_9x9,9,59,markdown,,13.0,True,0,### Interpretasi hasil tanpa normalisasi
order_9x9,9,60,markdown,,14.0,True,0,## 14. Median-based spatial correlation — robust terhadap outlier
order_9x9,9,61,code,35.0,14.0,True,2,def correlation_blocks_frequency(H_rx_time_frequency):
order_9x9,9,62,code,36.0,14.0,True,2,if median_spatial_correlation_overall.size:
order_9x9,9,63,markdown,,14.0,True,0,### Interpretasi metode median
